epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9228,2.1939,3.76565,1.77376,0.25,0.19048,0.15666,0.04645,2.34102,6.60169,3.54595,0.000660066,0.000660066,0.000660066
2,56.679,2.23189,2.69141,1.84349,0.0025,0.28571,0.00151,0.00043,3.36134,1475.78,26.354,0.0013136,0.0013136,0.0013136
3,83.2932,2.19347,2.52855,1.80845,0.0036,0.54762,0.02836,0.00618,2.99038,inf,10.7665,0.00195393,0.00195393,0.00195393
4,107.316,2.35388,2.55407,1.88441,0.00234,0.28571,0.00118,0.0003,3.63475,2758.89,11.668,0.0019406,0.0019406,0.0019406
5,133.347,2.18024,2.24518,1.78515,0.52299,0.52381,0.47801,0.22012,1.7513,7.32963,1.77562,0.0019208,0.0019208,0.0019208
6,158.897,2.01801,2.01184,1.70084,0.02139,0.7619,0.01826,0.00979,2.03126,50.0705,1.77625,0.001901,0.001901,0.001901
7,183.227,1.9465,2.09541,1.68244,0.14168,0.2619,0.10875,0.04926,1.86043,5.10558,1.71428,0.0018812,0.0018812,0.0018812
8,207.569,1.89387,1.95329,1.63082,0.45496,0.85714,0.58053,0.30754,1.60559,2.99089,1.41112,0.0018614,0.0018614,0.0018614
9,233.197,1.75339,1.75029,1.54725,0.46752,0.48089,0.36553,0.18654,1.90584,2.18681,1.66208,0.0018416,0.0018416,0.0018416
10,259.684,1.78504,1.69499,1.54548,0.58246,0.66667,0.55236,0.31995,1.77662,2.04737,1.52335,0.0018218,0.0018218,0.0018218
11,287.155,1.84122,1.72411,1.56831,0.56024,0.71429,0.63588,0.34885,1.47654,2.50945,1.3057,0.001802,0.001802,0.001802
12,315.71,1.86276,1.79157,1.58606,0.48077,0.50717,0.44883,0.22271,1.7793,2.33977,1.43536,0.0017822,0.0017822,0.0017822
13,339.78,1.79208,1.77176,1.55149,0.47581,0.61905,0.3989,0.20973,1.90217,1.94105,1.59121,0.0017624,0.0017624,0.0017624
14,365.38,1.61008,1.51856,1.42358,0.43847,0.59493,0.47525,0.27091,1.85007,2.3761,1.58037,0.0017426,0.0017426,0.0017426
15,390.828,1.72027,1.52822,1.45357,0.62277,0.7619,0.72525,0.4462,1.4718,1.4647,1.31054,0.0017228,0.0017228,0.0017228
