epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9579,1.06193,1.51439,1.81096,1.63475,0.1001,0.70588,0.1,0.0328,0.10084,0.52941,0.09634,0.03024,2.09174,4.11241,15.4902,3.12598,0.000662222,0.000662222,0.000662222
2,100.021,1.4374,1.43804,1.67567,1.90976,0.00768,0.17647,0.00243,0.0007,0.00902,0.11765,0.00226,0.00075,3.83643,12.7219,64.9796,8.67267,0.00131573,0.00131573,0.00131573
3,144.725,1.53767,1.42591,1.52006,2.0355,0.01519,0.88235,0.01492,0.00517,0.01297,0.76471,0.01282,0.0044,2.50767,1.94601,67.08,4.25184,0.00195604,0.00195604,0.00195604
4,188.646,1.48305,1.55042,1.4454,2.00757,0.03445,0.64706,0.02945,0.01159,0.03234,0.60747,0.02945,0.01082,2.24772,1.49178,10.3655,3.00098,0.0019406,0.0019406,0.0019406
5,234.248,1.43434,1.64949,1.33523,1.98082,0.66264,0.70588,0.61508,0.37437,0.66264,0.70588,0.61508,0.36927,1.7252,1.26038,2.06803,2.467,0.0019208,0.0019208,0.0019208
6,281.214,1.35738,1.48661,1.25111,1.8844,0.5526,0.7998,0.64452,0.47713,0.5526,0.7998,0.64452,0.43536,1.35119,0.95368,1.40363,1.99894,0.001901,0.001901,0.001901
7,327.331,1.23935,1.35754,1.07314,1.771,0.7681,0.78,0.85864,0.49321,0.7681,0.78,0.85864,0.51004,1.36624,0.9805,1.20457,2.13589,0.0018812,0.0018812,0.0018812
8,373.709,1.25654,1.39647,1.09878,1.76512,0.69182,0.70588,0.53184,0.30126,0.63382,0.64706,0.48583,0.27783,1.75625,0.90347,1.9841,2.54836,0.0018614,0.0018614,0.0018614
9,417.735,1.07033,1.20164,0.94915,1.60277,0.72431,0.92775,0.83245,0.49279,0.72431,0.92775,0.83245,0.45818,1.57076,0.88438,0.96812,2.55889,0.0018416,0.0018416,0.0018416
10,461.981,1.12,1.19531,0.97374,1.62037,0.8391,0.94118,0.93544,0.60944,0.8391,0.94118,0.93055,0.60409,1.22621,0.65753,0.88079,1.81489,0.0018218,0.0018218,0.0018218
